onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0145	2.008	option:choice::high:down	option:choice	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
5.6085	2.0147	option:choice::high:down	None	high:down	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
9.0019	0.863	option:choice::high:down	option:choice	high:down	0	1	2	1	6	['3']	3	2	0	0	1	1.0	Probe
10.8809	2.0104	run:sprint::study:learn	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
13.9936	2.0155	run:sprint::study:learn	None	study:learn	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
17.142	0.6682	run:sprint::study:learn	run:sprint	study:learn	0	1	3	1	9	['4']	4	1	0	0	1	1.0	Probe
18.8338	2.0097	tragedy:tears::rich:poor	tragedy:tears	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
23.7943	2.0174	tragedy:tears::rich:poor	None	rich:poor	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
27.7288	0.5703	tragedy:tears::rich:poor	tragedy:tears	rich:poor	0	3	2	7	4	['3']	3	2	0	0	1	1.0	Probe
29.3198	2.0102	right:bad::obey:protest	right:bad	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
32.1045	2.0098	right:bad::obey:protest	None	obey:protest	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
35.1553	2.4245	right:bad::obey:protest	right:bad	obey:protest	1	2	2	6	6	['4']	3	1	0	0	1	1.0	Probe
38.6058	2.0103	boat:ship::pants:trousers	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
41.2319	2.0183	boat:ship::pants:trousers	None	pants:trousers	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
43.9288	1.9407	boat:ship::pants:trousers	boat:ship	pants:trousers	1	1	1	1	1	['4']	3	1	0	0	1	1.0	Probe
46.8914	2.0103	spin:twirl::house:home	spin:twirl	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
49.438	2.0147	spin:twirl::house:home	None	house:home	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
52.049	0.5482	spin:twirl::house:home	spin:twirl	house:home	1	1	1	1	1	['4']	3	1	0	0	1	1.0	Probe
53.6105	2.0101	thirsty:drink::fence:hedge	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
56.2028	2.0185	thirsty:drink::fence:hedge	None	fence:hedge	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
58.8431	2.2205	thirsty:drink::fence:hedge	thirsty:drink	fence:hedge	0	3	1	8	2	['4']	4	1	0	0	1	1.0	Probe
62.0795	2.0104	ignite:burn::majority:small	ignite:burn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
65.9127	2.0113	ignite:burn::majority:small	None	majority:small	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
70.2537	0.7918	ignite:burn::majority:small	ignite:burn	majority:small	0	3	2	9	6	['3']	3	2	0	0	1	1.0	Probe
72.0677	2.0083	rise:tide::left:right	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
74.792	2.0179	rise:tide::left:right	None	left:right	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
78.7131	0.5689	rise:tide::left:right	rise:tide	left:right	0	1	2	3	5	['4']	4	1	0	0	1	1.0	Probe
80.3028	2.0089	repetition:boredom::below:above	repetition:boredom	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
