onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0224	2.008	table:desk::powerful:meek	table:desk	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
5.8709	2.0101	table:desk::powerful:meek	None	powerful:meek	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
8.7274	0.4945	table:desk::powerful:meek	table:desk	powerful:meek	0	1	2	2	6	['4']	4	1	0	0	1	1.0	Probe
10.2396	2.0092	happiness:smile::sadness:cry	happiness:smile	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
12.813	2.0196	happiness:smile::sadness:cry	None	sadness:cry	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
15.6066	0.5239	happiness:smile::sadness:cry	happiness:smile	sadness:cry	1	3	3	8	8	['3']	3	1	0	0	1	1.0	Probe
17.157	2.0098	stairs:ladder::sickness:medicate	stairs:ladder	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
20.1402	2.0106	stairs:ladder::sickness:medicate	None	sickness:medicate	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
22.8296	0.5485	stairs:ladder::sickness:medicate	stairs:ladder	sickness:medicate	0	1	3	2	8	['3']	3	2	0	0	1	1.0	Probe
24.3922	2.0098	difficult:easy::warm:cool	difficult:easy	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
27.3006	2.0187	difficult:easy::warm:cool	None	warm:cool	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
29.99	0.5998	difficult:easy::warm:cool	difficult:easy	warm:cool	1	2	2	4	4	['3']	3	1	0	0	1	1.0	Probe
31.611	2.0092	advertise:promote::paper:parchment	advertise:promote	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
35.124	2.0136	advertise:promote::paper:parchment	None	paper:parchment	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
37.8534	0.5552	advertise:promote::paper:parchment	advertise:promote	paper:parchment	0	3	1	9	2	['4']	4	1	0	0	1	1.0	Probe
39.4292	2.0094	accident:damage::germs:sickness	accident:damage	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
42.7511	2.0049	accident:damage::germs:sickness	None	germs:sickness	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
45.2849	0.8053	accident:damage::germs:sickness	accident:damage	germs:sickness	1	3	3	7	7	['3']	4	2	0	0	1	1.0	Probe
47.1134	2.0101	fire:burns::dim:light	fire:burns	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
50.1767	2.0144	fire:burns::dim:light	None	dim:light	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
53.4335	0.3625	fire:burns::dim:light	fire:burns	dim:light	0	3	1	7	3	['3']	3	2	0	0	1	1.0	Probe
54.8155	2.0098	burnish:shine::drink:hydrate	burnish:shine	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
57.4897	2.0196	burnish:shine::drink:hydrate	None	drink:hydrate	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
60.3051	0.6775	burnish:shine::drink:hydrate	burnish:shine	drink:hydrate	1	3	3	9	9	['3']	3	1	0	0	1	1.0	Probe
62.0024	2.0078	flood:water::death:population	flood:water	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
64.9772	2.0169	flood:water::death:population	None	death:population	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
70.7181	0.5185	flood:water::death:population	flood:water	death:population	1	1	1	3	3	['4']	4	2	0	0	1	1.0	Probe
72.2521	2.0102	big:large::option:choice	big:large	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
75.9632	2.0165	big:large::option:choice	None	option:choice	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
78.5095	1.4109	big:large::option:choice	big:large	option:choice	1	1	1	1	1	['3']	4	2	0	0	1	1.0	Probe
80.9372	2.0102	terror:fear::rise:tide	terror:fear	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
84.6003	2.0146	terror:fear::rise:tide	None	rise:tide	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
87.5178	0.8994	terror:fear::rise:tide	terror:fear	rise:tide	1	1	1	3	3	['4']	3	1	0	0	1	1.0	Probe
89.4397	2.0095	pants:trousers::disease:sickness	pants:trousers	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
92.3181	2.0151	pants:trousers::disease:sickness	None	disease:sickness	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
95.1804	0.5142	pants:trousers::disease:sickness	pants:trousers	disease:sickness	0	1	3	1	7	['4']	3	2	0	0	1	1.0	Probe
96.7073	2.0105	pretty:ugly::spin:twirl	pretty:ugly	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
99.9454	2.006	pretty:ugly::spin:twirl	None	spin:twirl	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
102.6074	0.409	pretty:ugly::spin:twirl	pretty:ugly	spin:twirl	0	2	1	4	1	['3']	4	1	0	0	1	1.0	Probe
104.043	2.0092	careful:cautious::heater:warmth	careful:cautious	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
106.96	2.0095	careful:cautious::heater:warmth	None	heater:warmth	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
109.6176	0.5092	careful:cautious::heater:warmth	careful:cautious	heater:warmth	0	1	3	1	7	['3']	3	2	0	0	1	1.0	Probe
111.1437	2.01	breathe:live::good:bad	breathe:live	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
114.4102	2.011	breathe:live::good:bad	None	good:bad	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
117.6211	2.0316	breathe:live::good:bad	breathe:live	good:bad	0	3	2	9	4	['4']	4	1	0	0	1	1.0	Probe
120.6813	2.0077	hunger:eat::tiredness:rest	hunger:eat	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
123.5582	2.0149	hunger:eat::tiredness:rest	None	tiredness:rest	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
126.2322	0.4601	hunger:eat::tiredness:rest	hunger:eat	tiredness:rest	1	3	3	8	8	['3']	3	1	0	0	1	1.0	Probe
127.7147	2.0092	shorten:distance::fast:slow	shorten:distance	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
130.8306	2.0107	shorten:distance::fast:slow	None	fast:slow	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
133.5473	1.0316	shorten:distance::fast:slow	shorten:distance	fast:slow	0	1	2	3	4	['3']	3	2	0	0	1	1.0	Probe
135.5993	2.0097	funny:serious::wash:clean	funny:serious	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
138.1664	2.0096	funny:serious::wash:clean	None	wash:clean	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
140.8831	0.5193	funny:serious::wash:clean	funny:serious	wash:clean	0	2	3	6	9	['3']	3	2	0	0	1	1.0	Probe
142.4179	2.0092	bath:cleanliness::ahead:behind	bath:cleanliness	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
145.0418	2.0191	bath:cleanliness::ahead:behind	None	ahead:behind	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
148.6169	0.6311	bath:cleanliness::ahead:behind	bath:cleanliness	ahead:behind	0	3	2	7	5	['4']	4	1	0	0	1	1.0	Probe
150.269	2.0099	start:finish::forward:backward	start:finish	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
153.342	2.0041	start:finish::forward:backward	None	forward:backward	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
156.0972	0.5885	start:finish::forward:backward	start:finish	forward:backward	1	2	2	5	5	['4']	3	1	0	0	1	1.0	Probe
157.7055	2.0081	majority:small::house:tent	majority:small	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
160.7226	2.0085	majority:small::house:tent	None	house:tent	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
163.6523	1.3865	majority:small::house:tent	majority:small	house:tent	0	2	1	6	2	['3']	4	1	0	0	1	1.0	Probe
166.0553	2.0101	injury:pain::loss:grief	injury:pain	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
169.1942	2.0053	injury:pain::loss:grief	None	loss:grief	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
171.779	0.477	injury:pain::loss:grief	injury:pain	loss:grief	1	3	3	7	7	['4']	4	2	0	0	1	1.0	Probe
173.276	2.0078	front:back::wagon:trailer	front:back	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
175.8895	2.0114	front:back::wagon:trailer	None	wagon:trailer	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
178.8018	0.5177	front:back::wagon:trailer	front:back	wagon:trailer	0	2	1	5	2	['4']	3	2	0	0	1	1.0	Probe
180.3415	2.0105	hot:cold::accept:reject	hot:cold	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
183.0778	2.0079	hot:cold::accept:reject	None	accept:reject	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
186.0517	0.5624	hot:cold::accept:reject	hot:cold	accept:reject	1	2	2	4	4	['4']	3	1	0	0	1	1.0	Probe
187.6264	2.0104	cook:eat::exercise:healthy	cook:eat	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
190.2086	2.0121	cook:eat::exercise:healthy	None	exercise:healthy	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
192.8925	0.5291	cook:eat::exercise:healthy	cook:eat	exercise:healthy	1	3	3	9	9	['3']	3	1	0	0	1	1.0	Probe
194.445	2.01	dirty:clean::darken:color	dirty:clean	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
197.9926	2.013	dirty:clean::darken:color	None	darken:color	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
200.6645	1.1189	dirty:clean::darken:color	dirty:clean	darken:color	0	2	1	4	3	['4']	4	1	0	0	1	1.0	Probe
202.7967	2.01	soften:voice::thirst:drink	soften:voice	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
205.5392	2.0182	soften:voice::thirst:drink	None	thirst:drink	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
208.9763	0.7527	soften:voice::thirst:drink	soften:voice	thirst:drink	0	1	3	3	8	['4']	3	2	0	0	1	1.0	Probe
210.748	2.0105	high:low::rise:sink	high:low	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
213.4143	2.0115	high:low::rise:sink	None	rise:sink	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
216.5243	0.5693	high:low::rise:sink	high:low	rise:sink	1	2	2	5	5	['3']	3	1	0	0	1	1.0	Probe
218.1169	2.0098	obey:protest::enthusiastic:lazy	obey:protest	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
221.5561	2.0049	obey:protest::enthusiastic:lazy	None	enthusiastic:lazy	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
224.3714	0.8921	obey:protest::enthusiastic:lazy	obey:protest	enthusiastic:lazy	1	2	2	6	6	['4']	4	2	0	0	1	1.0	Probe
226.2852	2.0101	witty:dumb::low:up	witty:dumb	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
229.0437	2.0186	witty:dumb::low:up	None	low:up	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
231.6151	1.0331	witty:dumb::low:up	witty:dumb	low:up	1	2	2	6	6	['4']	4	2	0	0	1	1.0	Probe
233.6704	2.0098	house:home::run:sprint	house:home	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
236.5665	2.0144	house:home::run:sprint	None	run:sprint	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
239.5531	1.3948	house:home::run:sprint	house:home	run:sprint	1	1	1	1	1	['4']	4	2	0	0	1	1.0	Probe
241.9725	2.0095	coldness:shiver::couch:sofa	coldness:shiver	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
244.8654	2.0172	coldness:shiver::couch:sofa	None	couch:sofa	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
249.4514	0.6047	coldness:shiver::couch:sofa	coldness:shiver	couch:sofa	0	3	1	8	1	['3']	3	2	0	0	1	1.0	Probe
251.0746	2.0093	picture:drawing::sword:knife	picture:drawing	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
253.7172	2.0174	picture:drawing::sword:knife	None	sword:knife	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
256.4283	0.4882	picture:drawing::sword:knife	picture:drawing	sword:knife	1	1	1	2	2	['3']	4	2	0	0	1	1.0	Probe
257.9442	2.008	under:over::sleep:rest	under:over	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
