onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0189	2.0083	fire:burns::dim:light	fire:burns	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
6.1825	2.0122	fire:burns::dim:light	None	dim:light	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
9.3925	0.7453	fire:burns::dim:light	fire:burns	dim:light	0	3	1	7	3	['4']	4	1	0	0	1	1.0	Probe
11.1528	2.0101	under:over::sleep:rest	under:over	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
14.2336	2.0134	under:over::sleep:rest	None	sleep:rest	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
17.5211	1.0154	under:over::sleep:rest	under:over	sleep:rest	0	2	3	5	9	['4']	4	1	0	0	1	1.0	Probe
19.5551	2.0101	breathe:live::good:bad	breathe:live	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
22.585	2.0143	breathe:live::good:bad	None	good:bad	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
25.4172	1.6837	breathe:live::good:bad	breathe:live	good:bad	0	3	2	9	4	['3']	3	2	0	0	1	1.0	Probe
28.1252	2.0092	advertise:promote::paper:parchment	advertise:promote	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
31.0888	2.0131	advertise:promote::paper:parchment	None	paper:parchment	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
33.9707	0.5764	advertise:promote::paper:parchment	advertise:promote	paper:parchment	0	3	1	9	2	['4']	3	2	0	0	1	1.0	Probe
35.5602	2.0097	accident:damage::germs:sickness	accident:damage	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
38.3687	2.0186	accident:damage::germs:sickness	None	germs:sickness	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
43.1247	0.5421	accident:damage::germs:sickness	accident:damage	germs:sickness	1	3	3	7	7	['4']	4	2	0	0	1	1.0	Probe
44.6795	2.0097	coldness:shiver::couch:sofa	coldness:shiver	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
48.0985	2.0085	coldness:shiver::couch:sofa	None	couch:sofa	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
51.4652	0.6839	coldness:shiver::couch:sofa	coldness:shiver	couch:sofa	0	3	1	8	1	['4']	4	1	0	0	1	1.0	Probe
53.1652	2.0098	difficult:easy::warm:cool	difficult:easy	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
59.3003	2.0099	difficult:easy::warm:cool	None	warm:cool	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
63.9092	0.6227	difficult:easy::warm:cool	difficult:easy	warm:cool	1	2	2	4	4	['4']	4	2	0	0	1	1.0	Probe
65.5518	2.0102	fence:hedge::hill:mountain	fence:hedge	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
68.3262	2.0199	fence:hedge::hill:mountain	None	hill:mountain	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
71.0413	0.8487	fence:hedge::hill:mountain	fence:hedge	hill:mountain	1	1	1	2	2	['4']	4	2	0	0	1	1.0	Probe
