onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0174	2.0074	disease:sickness::injury:pain	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
5.8185	2.0074	disease:sickness::injury:pain	None	injury:pain	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
8.3494	2.3885	disease:sickness::injury:pain	disease:sickness	injury:pain	1	3	3	7	7	['4']	4	2	0	0	1	1.0	Probe
11.7519	2.0099	hill:mountain::anger:yell	hill:mountain	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
16.14	2.0069	hill:mountain::anger:yell	None	anger:yell	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
18.9053	0.6022	hill:mountain::anger:yell	hill:mountain	anger:yell	0	1	3	2	8	['3']	3	2	0	0	1	1.0	Probe
20.5212	2.0108	fast:slow::bright:dark	fast:slow	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
23.5667	2.0163	fast:slow::bright:dark	None	bright:dark	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
26.1515	0.6987	fast:slow::bright:dark	fast:slow	bright:dark	1	2	2	4	4	['4']	4	2	0	0	1	1.0	Probe
27.8745	2.0102	fright:scream::heat:sweat	fright:scream	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
30.76	2.0092	fright:scream::heat:sweat	None	heat:sweat	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
33.6803	1.8014	fright:scream::heat:sweat	fright:scream	heat:sweat	1	3	3	8	8	['3']	3	1	0	0	1	1.0	Probe
36.4943	2.0105	run:sprint::study:learn	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
39.0475	2.008	run:sprint::study:learn	None	study:learn	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
41.967	2.9262	run:sprint::study:learn	run:sprint	study:learn	0	1	3	1	9	['3']	4	1	0	0	1	1.0	Probe
45.9148	2.0101	accept:reject::chair:sofa	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
49.214	2.0126	accept:reject::chair:sofa	None	chair:sofa	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
52.297	0.6356	accept:reject::chair:sofa	accept:reject	chair:sofa	0	2	1	4	2	['3']	3	2	0	0	1	1.0	Probe
53.9504	2.0111	low:up::good:wrong	low:up	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
57.3731	2.0067	low:up::good:wrong	None	good:wrong	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
60.3778	1.5202	low:up::good:wrong	low:up	good:wrong	1	2	2	6	6	['3']	4	2	0	0	1	1.0	Probe
62.9212	2.0104	ignite:burn::majority:small	ignite:burn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
65.5464	2.0198	ignite:burn::majority:small	None	majority:small	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
69.2635	0.6217	ignite:burn::majority:small	ignite:burn	majority:small	0	3	2	9	6	['4']	4	1	0	0	1	1.0	Probe
70.9103	2.0079	death:population::flood:water	death:population	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
73.9343	2.0184	death:population::flood:water	None	flood:water	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
76.4855	0.6445	death:population::flood:water	death:population	flood:water	1	1	1	3	3	['3']	4	2	0	0	1	1.0	Probe
78.1442	2.0102	trim:shorten::high:low	trim:shorten	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
80.8279	2.0109	trim:shorten::high:low	None	high:low	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
83.924	0.6829	trim:shorten::high:low	trim:shorten	high:low	0	3	2	9	5	['4']	4	1	0	0	1	1.0	Probe
85.6303	2.0105	sleep:rest::advertise:promote	sleep:rest	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
88.9442	2.0143	sleep:rest::advertise:promote	None	advertise:promote	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
91.5613	0.7508	sleep:rest::advertise:promote	sleep:rest	advertise:promote	1	3	3	9	9	['4']	4	2	0	0	1	1.0	Probe
93.3332	2.0106	east:west::front:back	east:west	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
96.4845	2.0106	east:west::front:back	None	front:back	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
99.2658	0.7334	east:west::front:back	east:west	front:back	1	2	2	5	5	['3']	3	1	0	0	1	1.0	Probe
101.0197	2.0103	option:choice::high:down	option:choice	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
104.281	2.0171	option:choice::high:down	None	high:down	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
107.1447	0.6553	option:choice::high:down	option:choice	high:down	0	1	2	1	6	['4']	4	1	0	0	1	1.0	Probe
108.8239	2.0091	repetition:boredom::below:above	repetition:boredom	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
111.4031	2.0145	repetition:boredom::below:above	None	below:above	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
114.1338	0.6588	repetition:boredom::below:above	repetition:boredom	below:above	0	3	2	7	5	['4']	4	1	0	0	1	1.0	Probe
115.8086	2.0105	rise:tide::left:right	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
