onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0274	2.0073	teach:instruct::up:down	teach:instruct	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
6.0773	2.0076	teach:instruct::up:down	None	up:down	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
9.0488	0.5459	teach:instruct::up:down	teach:instruct	up:down	0	1	2	1	5	['4']	4	1	0	0	1	1.0	Probe
10.6087	2.0098	bright:dull::day:evening	bright:dull	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
13.1631	2.0058	bright:dull::day:evening	None	day:evening	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
16.2764	0.636	bright:dull::day:evening	bright:dull	day:evening	1	2	2	6	6	['4']	4	2	0	0	1	1.0	Probe
17.9259	2.0098	good:wrong::nervousness:sweat	good:wrong	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
20.6702	2.0158	good:wrong::nervousness:sweat	None	nervousness:sweat	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
23.4074	0.5054	good:wrong::nervousness:sweat	good:wrong	nervousness:sweat	0	2	3	6	8	['3']	3	2	0	0	1	1.0	Probe
24.9279	2.0083	illness:discomfort::explosion:damage	illness:discomfort	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
27.8377	2.0156	illness:discomfort::explosion:damage	None	explosion:damage	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
31.4567	0.5127	illness:discomfort::explosion:damage	illness:discomfort	explosion:damage	1	3	3	7	7	['3']	3	1	0	0	1	1.0	Probe
32.9956	2.0081	joke:laughter::right:bad	joke:laughter	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
36.0682	2.019	joke:laughter::right:bad	None	right:bad	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
40.2542	0.525	joke:laughter::right:bad	joke:laughter	right:bad	0	3	2	7	6	['4']	4	1	0	0	1	1.0	Probe
41.795	2.0093	raise:elevate::cute:adorable	raise:elevate	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
44.7724	2.0155	raise:elevate::cute:adorable	None	cute:adorable	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
48.2637	0.5261	raise:elevate::cute:adorable	raise:elevate	cute:adorable	1	1	1	1	1	['4']	4	2	0	0	1	1.0	Probe
49.812	2.0096	shovel:spoon::black:white	shovel:spoon	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
52.6512	2.004	shovel:spoon::black:white	None	black:white	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
55.3849	0.4515	shovel:spoon::black:white	shovel:spoon	black:white	0	1	2	2	4	['4']	4	1	0	0	1	1.0	Probe
56.8624	2.0098	tall:short::repetition:boredom	tall:short	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
60.6856	2.0035	tall:short::repetition:boredom	None	repetition:boredom	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
64.056	0.4661	tall:short::repetition:boredom	tall:short	repetition:boredom	0	2	3	4	7	['3']	3	2	0	0	1	1.0	Probe
65.5465	2.0098	north:south::east:west	north:south	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
68.8503	2.0062	north:south::east:west	None	east:west	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
72.644	0.5787	north:south::east:west	north:south	east:west	1	2	2	5	5	['4']	4	2	0	0	1	1.0	Probe
74.247	2.01	rich:poor::stimulus:response	rich:poor	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
77.1764	2.014	rich:poor::stimulus:response	None	stimulus:response	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
80.6959	1.2036	rich:poor::stimulus:response	rich:poor	stimulus:response	0	2	3	4	7	['3']	4	1	0	0	1	1.0	Probe
82.9145	2.0098	left:right::in:out	left:right	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
85.5299	2.0112	left:right::in:out	None	in:out	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
88.3485	0.4946	left:right::in:out	left:right	in:out	1	2	2	5	5	['3']	3	1	0	0	1	1.0	Probe
89.8652	2.0096	study:learn::old:young	study:learn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
92.3995	2.009	study:learn::old:young	None	old:young	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
95.0787	1.5954	study:learn::old:young	study:learn	old:young	0	3	2	9	4	['3']	3	2	0	0	1	1.0	Probe
97.7014	2.0075	workout:sweat::tragedy:tears	workout:sweat	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
100.4565	2.0193	workout:sweat::tragedy:tears	None	tragedy:tears	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
103.4168	0.6953	workout:sweat::tragedy:tears	workout:sweat	tragedy:tears	1	3	3	7	7	['4']	4	2	0	0	1	1.0	Probe
105.1331	2.0096	bathe:clean::work:earn	bathe:clean	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
108.1216	2.0048	bathe:clean::work:earn	None	work:earn	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
110.657	0.5457	bathe:clean::work:earn	bathe:clean	work:earn	1	3	3	9	9	['4']	4	2	0	0	1	1.0	Probe
112.2165	2.0102	car:auto::top:bottom	car:auto	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
114.8954	2.0148	car:auto::top:bottom	None	top:bottom	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
117.6621	0.4693	car:auto::top:bottom	car:auto	top:bottom	0	1	2	1	5	['3']	3	2	0	0	1	1.0	Probe
119.1519	2.0087	heat:temperature::loud:discreet	heat:temperature	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
121.8394	2.0046	heat:temperature::loud:discreet	None	loud:discreet	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
124.498	0.6519	heat:temperature::loud:discreet	heat:temperature	loud:discreet	0	1	2	3	6	['4']	4	1	0	0	1	1.0	Probe
126.1681	2.0103	bright:dark::fat:thin	bright:dark	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
130.0796	2.0152	bright:dark::fat:thin	None	fat:thin	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
133.0035	0.5332	bright:dark::fat:thin	bright:dark	fat:thin	1	2	2	4	4	['4']	4	2	0	0	1	1.0	Probe
134.552	2.0099	dark:light::big:small	dark:light	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
137.1488	2.0133	dark:light::big:small	None	big:small	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
139.9664	0.7548	dark:light::big:small	dark:light	big:small	1	2	2	4	4	['4']	4	2	0	0	1	1.0	Probe
141.736	2.0098	danger:flee::force:pressure	danger:flee	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
144.3074	2.0052	danger:flee::force:pressure	None	force:pressure	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
146.8524	0.6033	danger:flee::force:pressure	danger:flee	force:pressure	0	3	1	8	3	['4']	4	1	0	0	1	1.0	Probe
148.4735	2.0061	acceleration:speed::inflation:price	acceleration:speed	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
151.5319	2.0147	acceleration:speed::inflation:price	None	inflation:price	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
156.3274	0.5592	acceleration:speed::inflation:price	acceleration:speed	inflation:price	1	1	1	3	3	['4']	3	1	0	0	1	1.0	Probe
157.9038	2.0099	read:learn::just:unfair	read:learn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
160.4943	2.0029	read:learn::just:unfair	None	just:unfair	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
163.6036	0.4804	read:learn::just:unfair	read:learn	just:unfair	0	3	2	9	6	['4']	4	1	0	0	1	1.0	Probe
