onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.015	2.0081	ahead:behind::bath:cleanliness	ahead:behind	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
6.0949	2.0128	ahead:behind::bath:cleanliness	None	bath:cleanliness	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
8.6562	1.0672	ahead:behind::bath:cleanliness	ahead:behind	bath:cleanliness	0	2	3	5	7	['4']	3	2	0	0	1	1.0	Probe
10.7494	2.0099	raise:salary::shorten:distance	raise:salary	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
14.5938	2.017	raise:salary::shorten:distance	None	shorten:distance	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
17.4047	0.613	raise:salary::shorten:distance	raise:salary	shorten:distance	1	1	1	3	3	['4']	4	2	0	0	1	1.0	Probe
19.035	2.0106	big:small::difficult:easy	big:small	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
21.9067	2.0067	big:small::difficult:easy	None	difficult:easy	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
25.1064	0.5779	big:small::difficult:easy	big:small	difficult:easy	1	2	2	4	4	['4']	4	2	0	0	1	1.0	Probe
26.7048	2.0105	couch:sofa::kid:child	couch:sofa	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
29.562	2.0043	couch:sofa::kid:child	None	kid:child	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
32.319	1.6995	couch:sofa::kid:child	couch:sofa	kid:child	1	1	1	1	1	['4']	4	2	0	0	1	1.0	Probe
35.0437	2.0079	exercise:healthy::breathe:live	exercise:healthy	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
38.0536	2.0158	exercise:healthy::breathe:live	None	breathe:live	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
40.7839	0.6993	exercise:healthy::breathe:live	exercise:healthy	breathe:live	1	3	3	9	9	['4']	4	2	0	0	1	1.0	Probe
42.4946	2.0099	force:pressure::acceleration:speed	force:pressure	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
45.1013	2.0041	force:pressure::acceleration:speed	None	acceleration:speed	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
47.7507	0.8772	force:pressure::acceleration:speed	force:pressure	acceleration:speed	1	1	1	3	3	['4']	4	2	0	0	1	1.0	Probe
49.6467	2.0104	house:tent::book:magazine	house:tent	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
52.361	2.0139	house:tent::book:magazine	None	book:magazine	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
55.037	0.7455	house:tent::book:magazine	house:tent	book:magazine	1	1	1	2	2	['3']	3	1	0	0	1	1.0	Probe
56.7993	2.0105	top:bottom::pants:trousers	top:bottom	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
59.4981	2.0127	top:bottom::pants:trousers	None	pants:trousers	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
62.9213	0.6611	top:bottom::pants:trousers	top:bottom	pants:trousers	0	2	1	5	1	['4']	4	1	0	0	1	1.0	Probe
64.6025	2.0103	option:choice::careful:cautious	option:choice	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
67.883	2.0141	option:choice::careful:cautious	None	careful:cautious	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
70.5446	0.8107	option:choice::careful:cautious	option:choice	careful:cautious	1	1	1	1	1	['3']	3	1	0	0	1	1.0	Probe
72.3718	2.0106	old:young::rich:poor	old:young	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
75.1402	2.0099	old:young::rich:poor	None	rich:poor	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
