onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0191	2.0076	teach:instruct::germs:sickness	teach:instruct	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
5.6099	2.0179	teach:instruct::germs:sickness	None	germs:sickness	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
9.5993	0.548	teach:instruct::germs:sickness	teach:instruct	germs:sickness	0	1	3	1	7	['3']	3	2	0	0	1	1.0	Probe
11.1693	2.0102	chair:sofa::east:west	chair:sofa	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
13.7405	2.0065	chair:sofa::east:west	None	east:west	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
16.4076	0.6539	chair:sofa::east:west	chair:sofa	east:west	0	1	2	2	5	['4']	4	1	0	0	1	1.0	Probe
18.0881	2.0104	bright:dark::cute:adorable	bright:dark	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
20.6743	2.0083	bright:dark::cute:adorable	None	cute:adorable	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
23.9818	0.6281	bright:dark::cute:adorable	bright:dark	cute:adorable	0	2	1	4	1	['4']	4	1	0	0	1	1.0	Probe
25.6243	2.01	start:finish::top:bottom	start:finish	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
28.2356	2.0165	start:finish::top:bottom	None	top:bottom	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
32.1353	0.5733	start:finish::top:bottom	start:finish	top:bottom	1	2	2	5	5	['3']	3	1	0	0	1	1.0	Probe
33.7266	2.0105	big:large::low:up	big:large	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
36.2838	2.0209	big:large::low:up	None	low:up	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
38.8291	0.8717	big:large::low:up	big:large	low:up	0	1	2	1	6	['4']	4	1	0	0	1	1.0	Probe
40.7287	2.0104	hunger:eat::dirtiness:bathe	hunger:eat	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
43.4225	2.0176	hunger:eat::dirtiness:bathe	None	dirtiness:bathe	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
46.0721	0.6931	hunger:eat::dirtiness:bathe	hunger:eat	dirtiness:bathe	1	3	3	8	8	['4']	4	2	0	0	1	1.0	Probe
