onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0227	2.0084	heat:sweat::sickness:medicate	heat:sweat	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
6.3252	2.0069	heat:sweat::sickness:medicate	None	sickness:medicate	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
9.4396	0.6255	heat:sweat::sickness:medicate	heat:sweat	sickness:medicate	1	3	3	8	8	['3']	4	2	0	0	1	1.0	Probe
11.0918	2.0085	majority:small::just:unfair	majority:small	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
14.7086	2.0093	majority:small::just:unfair	None	just:unfair	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
18.3139	0.8292	majority:small::just:unfair	majority:small	just:unfair	1	2	2	6	6	['4']	3	1	0	0	1	1.0	Probe
20.1609	2.0091	advertise:promote::wash:clean	advertise:promote	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
22.7827	2.0045	advertise:promote::wash:clean	None	wash:clean	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
25.5249	1.9208	advertise:promote::wash:clean	advertise:promote	wash:clean	1	3	3	9	9	['4']	4	2	0	0	1	1.0	Probe
28.4622	2.0104	injury:pain::death:population	injury:pain	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
31.0654	2.0081	injury:pain::death:population	None	death:population	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
33.7249	0.819	injury:pain::death:population	injury:pain	death:population	0	3	1	7	3	['4']	4	1	0	0	1	1.0	Probe
35.5648	2.01	climb:descend::work:earn	climb:descend	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
38.2879	2.0046	climb:descend::work:earn	None	work:earn	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
43.06	2.0865	climb:descend::work:earn	climb:descend	work:earn	0	2	3	5	9	['3']	3	2	0	0	1	1.0	Probe
46.169	2.0094	heat:temperature::ignite:burn	heat:temperature	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
49.2024	2.0103	heat:temperature::ignite:burn	None	ignite:burn	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
53.2299	0.7736	heat:temperature::ignite:burn	heat:temperature	ignite:burn	0	1	3	3	9	['4']	4	1	0	0	1	1.0	Probe
55.0228	2.0083	high:down::option:choice	high:down	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
58.374	2.0083	high:down::option:choice	None	option:choice	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
61.1123	0.7208	high:down::option:choice	high:down	option:choice	0	2	1	6	1	['3']	4	1	0	0	1	1.0	Probe
62.857	2.0099	raise:elevate::pretty:beautiful	raise:elevate	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
65.8793	2.0053	raise:elevate::pretty:beautiful	None	pretty:beautiful	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
68.497	0.6803	raise:elevate::pretty:beautiful	raise:elevate	pretty:beautiful	1	1	1	1	1	['3']	4	2	0	0	1	1.0	Probe
70.1923	2.0106	hot:cold::old:young	hot:cold	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
72.8867	2.0169	hot:cold::old:young	None	old:young	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
76.7694	0.9726	hot:cold::old:young	hot:cold	old:young	1	2	2	4	4	['3']	3	1	0	0	1	1.0	Probe
78.7619	2.0102	breathe:live::forward:backward	breathe:live	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
82.3657	2.0078	breathe:live::forward:backward	None	forward:backward	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
85.0179	1.1419	breathe:live::forward:backward	breathe:live	forward:backward	0	3	2	9	5	['4']	4	1	0	0	1	1.0	Probe
87.1813	2.0104	rake:fork::house:tent	rake:fork	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
89.963	2.0127	rake:fork::house:tent	None	house:tent	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
92.7226	1.244	rake:fork::house:tent	rake:fork	house:tent	1	1	1	2	2	['4']	3	1	0	0	1	1.0	Probe
94.9838	2.0103	below:above::raise:salary	below:above	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
97.6724	2.006	below:above::raise:salary	None	raise:salary	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
100.2397	0.9771	below:above::raise:salary	below:above	raise:salary	0	2	1	5	3	['4']	4	1	0	0	1	1.0	Probe
102.2388	2.0079	exercise:fitness::repetition:boredom	exercise:fitness	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
104.9631	2.0176	exercise:fitness::repetition:boredom	None	repetition:boredom	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
107.9763	1.0113	exercise:fitness::repetition:boredom	exercise:fitness	repetition:boredom	1	3	3	7	7	['3']	4	2	0	0	1	1.0	Probe
110.0057	2.0101	difficult:easy::inflation:price	difficult:easy	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
113.1347	2.0156	difficult:easy::inflation:price	None	inflation:price	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
115.7526	1.9464	difficult:easy::inflation:price	difficult:easy	inflation:price	0	2	1	4	3	['3']	4	1	0	0	1	1.0	Probe
118.7249	2.0103	front:back::interior:exterior	front:back	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
123.5131	2.0071	front:back::interior:exterior	None	interior:exterior	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
127.1245	1.0043	front:back::interior:exterior	front:back	interior:exterior	1	2	2	5	5	['4']	4	2	0	0	1	1.0	Probe
129.1478	2.0078	soften:voice::darken:color	soften:voice	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
132.5065	2.0167	soften:voice::darken:color	None	darken:color	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
136.3086	1.378	soften:voice::darken:color	soften:voice	darken:color	1	1	1	3	3	['3']	3	1	0	0	1	1.0	Probe
138.6984	2.0101	north:south::ahead:behind	north:south	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
141.4153	2.0108	north:south::ahead:behind	None	ahead:behind	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
144.97	2.9783	north:south::ahead:behind	north:south	ahead:behind	1	2	2	5	5	['4']	4	2	0	0	1	1.0	Probe
148.9684	2.0101	stairs:ladder::big:small	stairs:ladder	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
151.538	2.0082	stairs:ladder::big:small	None	big:small	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
155.224	0.6108	stairs:ladder::big:small	stairs:ladder	big:small	0	1	2	2	4	['3']	3	2	0	0	1	1.0	Probe
156.8544	2.0101	dirty:clean::thirsty:drink	dirty:clean	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
160.654	2.0118	dirty:clean::thirsty:drink	None	thirsty:drink	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
164.0499	1.2411	dirty:clean::thirsty:drink	dirty:clean	thirsty:drink	0	2	3	4	8	['4']	3	2	0	0	1	1.0	Probe
166.3074	2.0104	anger:yell::smiling:sad	anger:yell	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
169.6448	2.0073	anger:yell::smiling:sad	None	smiling:sad	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
172.5598	0.8258	anger:yell::smiling:sad	anger:yell	smiling:sad	0	3	2	8	6	['4']	4	1	0	0	1	1.0	Probe
174.4108	2.0096	picture:drawing::pillow:cushion	picture:drawing	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
178.2682	2.0202	picture:drawing::pillow:cushion	None	pillow:cushion	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
180.9405	2.2253	picture:drawing::pillow:cushion	picture:drawing	pillow:cushion	1	1	1	2	2	['3']	3	1	0	0	1	1.0	Probe
184.18	2.0104	fire:burns::heater:warmth	fire:burns	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
186.786	2.005	fire:burns::heater:warmth	None	heater:warmth	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
