onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0163	2.0065	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
5.7779	2.0125	enthusiastic:lazy::witty:dumb	None	witty:dumb	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
9.804	0.5855	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	witty:dumb	1	2	2	6	6	['4']	4	2	0	0	1	1.0	Probe
11.4153	2.0101	darken:color::soften:voice	darken:color	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
14.0234	2.0197	darken:color::soften:voice	None	soften:voice	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
18.0961	0.5641	darken:color::soften:voice	darken:color	soften:voice	1	1	1	3	3	['4']	4	2	0	0	1	1.0	Probe
19.6847	2.0101	loss:grief::fire:burns	loss:grief	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
22.5114	2.0175	loss:grief::fire:burns	None	fire:burns	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
25.7521	0.8526	loss:grief::fire:burns	loss:grief	fire:burns	1	3	3	7	7	['4']	3	1	0	0	1	1.0	Probe
27.6206	2.0103	sword:knife::accident:damage	sword:knife	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
30.7933	2.0051	sword:knife::accident:damage	None	accident:damage	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
33.8251	1.7154	sword:knife::accident:damage	sword:knife	accident:damage	0	1	3	2	7	['3']	3	2	0	0	1	1.0	Probe
36.5563	2.0106	boat:ship::big:large	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
40.1706	2.0141	boat:ship::big:large	None	big:large	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
42.8638	1.9677	boat:ship::big:large	boat:ship	big:large	1	1	1	1	1	['3']	3	1	0	0	1	1.0	Probe
45.8429	2.0104	run:sprint::under:over	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
49.6326	2.0053	run:sprint::under:over	None	under:over	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
52.5946	0.7224	run:sprint::under:over	run:sprint	under:over	0	1	2	1	5	['3']	3	2	0	0	1	1.0	Probe
54.3301	2.0091	nervousness:sweat::coldness:shiver	nervousness:sweat	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
57.2661	2.0074	nervousness:sweat::coldness:shiver	None	coldness:shiver	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
60.2199	0.8957	nervousness:sweat::coldness:shiver	nervousness:sweat	coldness:shiver	1	3	3	8	8	['3']	3	1	0	0	1	1.0	Probe
62.1318	2.0099	discount:price::heat:temperature	discount:price	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
64.8799	2.0128	discount:price::heat:temperature	None	heat:temperature	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
67.914	1.4262	discount:price::heat:temperature	discount:price	heat:temperature	1	1	1	3	3	['3']	4	2	0	0	1	1.0	Probe
70.3692	2.0084	rise:sink::shovel:spoon	rise:sink	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
73.7032	2.009	rise:sink::shovel:spoon	None	shovel:spoon	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
76.3764	0.5874	rise:sink::shovel:spoon	rise:sink	shovel:spoon	0	2	1	5	2	['3']	3	2	0	0	1	1.0	Probe
77.9867	2.0101	day:evening::speak:express	day:evening	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
80.7138	2.0174	day:evening::speak:express	None	speak:express	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
83.3243	0.7566	day:evening::speak:express	day:evening	speak:express	0	2	3	6	9	['4']	4	1	0	0	1	1.0	Probe
85.1084	2.0075	disease:sickness::flood:water	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
88.3428	2.0073	disease:sickness::flood:water	None	flood:water	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
91.5508	1.0452	disease:sickness::flood:water	disease:sickness	flood:water	0	3	1	7	3	['3']	4	1	0	0	1	1.0	Probe
93.6086	2.0102	powerful:meek::rake:fork	powerful:meek	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
