onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0283	2.0076	raise:elevate::cute:adorable	raise:elevate	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
5.8694	2.0173	raise:elevate::cute:adorable	None	cute:adorable	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
8.5477	0.6167	raise:elevate::cute:adorable	raise:elevate	cute:adorable	1	1	1	1	1	['3']	3	1	0	0	1	1.0	Probe
10.1778	2.01	shovel:spoon::black:white	shovel:spoon	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
13.0385	2.0167	shovel:spoon::black:white	None	black:white	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
15.9007	0.6916	shovel:spoon::black:white	shovel:spoon	black:white	0	1	2	2	4	['3']	3	2	0	0	1	1.0	Probe
17.6127	2.0103	high:down::discount:price	high:down	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
20.5944	2.0127	high:down::discount:price	None	discount:price	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
23.2176	2.9945	high:down::discount:price	high:down	discount:price	0	2	1	6	3	['3']	3	2	0	0	1	1.0	Probe
27.2321	2.0103	tall:short::repetition:boredom	tall:short	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
29.846	2.0137	tall:short::repetition:boredom	None	repetition:boredom	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
33.4197	0.6834	tall:short::repetition:boredom	tall:short	repetition:boredom	0	2	3	4	7	['4']	4	1	0	0	1	1.0	Probe
35.1179	2.01	dirty:bathe::thirsty:drink	dirty:bathe	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
38.7062	2.0058	dirty:bathe::thirsty:drink	None	thirsty:drink	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
44.7325	1.8299	dirty:bathe::thirsty:drink	dirty:bathe	thirsty:drink	1	3	3	8	8	['4']	3	1	0	0	1	1.0	Probe
47.5897	2.0081	joke:laughter::right:bad	joke:laughter	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
50.8117	2.0035	joke:laughter::right:bad	None	right:bad	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
53.6067	3.2528	joke:laughter::right:bad	joke:laughter	right:bad	0	3	2	7	6	['3']	4	1	0	0	1	1.0	Probe
