onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0177	2.0072	difficult:easy::inflation:price	difficult:easy	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
6.3031	2.005	difficult:easy::inflation:price	None	inflation:price	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
8.9318	0.528	difficult:easy::inflation:price	difficult:easy	inflation:price	0	2	1	4	3	['4']	4	1	0	0	1	1.0	Probe
10.4823	2.0091	lower:volume::discount:price	lower:volume	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
13.6798	2.0116	lower:volume::discount:price	None	discount:price	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
16.9734	0.5043	lower:volume::discount:price	lower:volume	discount:price	1	1	1	3	3	['3']	3	1	0	0	1	1.0	Probe
18.4981	2.0097	kid:child::couch:sofa	kid:child	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
21.1645	2.01	kid:child::couch:sofa	None	couch:sofa	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
23.9596	0.5469	kid:child::couch:sofa	kid:child	couch:sofa	1	1	1	1	1	['4']	4	2	0	0	1	1.0	Probe
25.5315	2.0095	soften:voice::darken:color	soften:voice	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
28.3135	2.0108	soften:voice::darken:color	None	darken:color	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
31.3372	0.6191	soften:voice::darken:color	soften:voice	darken:color	1	1	1	3	3	['3']	3	1	0	0	1	1.0	Probe
32.9911	2.0164	majority:small::just:unfair	majority:small	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
35.8263	2.0145	majority:small::just:unfair	None	just:unfair	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
38.6721	0.85	majority:small::just:unfair	majority:small	just:unfair	1	2	2	6	6	['4']	4	2	0	0	1	1.0	Probe
40.5475	2.0098	car:auto::rise:sink	car:auto	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
43.5718	2.0189	car:auto::rise:sink	None	rise:sink	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
46.1789	0.4551	car:auto::rise:sink	car:auto	rise:sink	0	1	2	1	5	['4']	4	1	0	0	1	1.0	Probe
47.6495	2.0077	front:back::interior:exterior	front:back	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
51.312	2.0118	front:back::interior:exterior	None	interior:exterior	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
54.292	0.4497	front:back::interior:exterior	front:back	interior:exterior	1	2	2	5	5	['3']	3	1	0	0	1	1.0	Probe
55.7654	2.0083	acceleration:speed::enthusiastic:lazy	acceleration:speed	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
59.5027	2.0043	acceleration:speed::enthusiastic:lazy	None	enthusiastic:lazy	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
62.2113	1.7583	acceleration:speed::enthusiastic:lazy	acceleration:speed	enthusiastic:lazy	0	1	2	3	6	['4']	4	1	0	0	1	1.0	Probe
64.9804	2.0098	rake:fork::house:tent	rake:fork	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
67.5179	2.0055	rake:fork::house:tent	None	house:tent	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
71.0657	0.8499	rake:fork::house:tent	rake:fork	house:tent	1	1	1	2	2	['3']	3	1	0	0	1	1.0	Probe
72.9305	2.0095	below:above::raise:salary	below:above	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
75.6266	2.0134	below:above::raise:salary	None	raise:salary	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
78.7578	0.6854	below:above::raise:salary	below:above	raise:salary	0	2	1	5	3	['4']	4	1	0	0	1	1.0	Probe
80.4656	2.0076	anger:yell::smiling:sad	anger:yell	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
83.4985	2.008	anger:yell::smiling:sad	None	smiling:sad	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
86.1205	0.5565	anger:yell::smiling:sad	anger:yell	smiling:sad	0	3	2	8	6	['3']	3	2	0	0	1	1.0	Probe
87.6974	2.0088	heat:temperature::ignite:burn	heat:temperature	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
90.9627	2.0103	heat:temperature::ignite:burn	None	ignite:burn	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
94.3607	0.771	heat:temperature::ignite:burn	heat:temperature	ignite:burn	0	1	3	3	9	['4']	3	2	0	0	1	1.0	Probe
96.1489	2.0071	funny:serious::fright:scream	funny:serious	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
98.8003	2.0058	funny:serious::fright:scream	None	fright:scream	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
101.6699	0.4937	funny:serious::fright:scream	funny:serious	fright:scream	0	2	3	6	8	['3']	3	2	0	0	1	1.0	Probe
103.1803	2.0089	accident:damage::make:manufacture	accident:damage	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
105.8008	2.0051	accident:damage::make:manufacture	None	make:manufacture	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
108.8691	0.4835	accident:damage::make:manufacture	accident:damage	make:manufacture	0	3	1	7	1	['3']	4	1	0	0	1	1.0	Probe
110.3629	2.0096	dirty:clean::thirsty:drink	dirty:clean	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
113.4544	2.018	dirty:clean::thirsty:drink	None	thirsty:drink	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
116.056	1.0663	dirty:clean::thirsty:drink	dirty:clean	thirsty:drink	0	2	3	4	8	['4']	4	1	0	0	1	1.0	Probe
118.1458	2.0097	hot:cold::old:young	hot:cold	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
121.6059	2.0163	hot:cold::old:young	None	old:young	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
125.7197	0.5884	hot:cold::old:young	hot:cold	old:young	1	2	2	4	4	['3']	3	1	0	0	1	1.0	Probe
127.3299	2.0088	careful:cautious::explosion:damage	careful:cautious	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
129.9505	2.0049	careful:cautious::explosion:damage	None	explosion:damage	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
132.5699	0.545	careful:cautious::explosion:damage	careful:cautious	explosion:damage	0	1	3	1	7	['3']	3	2	0	0	1	1.0	Probe
134.1297	2.0089	exercise:fitness::repetition:boredom	exercise:fitness	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
138.0736	2.0149	exercise:fitness::repetition:boredom	None	repetition:boredom	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
140.8983	0.4645	exercise:fitness::repetition:boredom	exercise:fitness	repetition:boredom	1	3	3	7	7	['3']	3	1	0	0	1	1.0	Probe
142.3798	2.0085	advertise:promote::wash:clean	advertise:promote	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
146.2204	2.0179	advertise:promote::wash:clean	None	wash:clean	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
148.8907	0.4879	advertise:promote::wash:clean	advertise:promote	wash:clean	1	3	3	9	9	['4']	4	2	0	0	1	1.0	Probe
150.3949	2.0099	cook:eat::day:evening	cook:eat	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
153.2236	2.0145	cook:eat::day:evening	None	day:evening	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
156.0304	0.5111	cook:eat::day:evening	cook:eat	day:evening	0	3	2	9	6	['3']	3	2	0	0	1	1.0	Probe
157.5615	2.0099	high:down::option:choice	high:down	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
160.7649	2.0064	high:down::option:choice	None	option:choice	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
163.3603	0.7089	high:down::option:choice	high:down	option:choice	0	2	1	6	1	['3']	3	2	0	0	1	1.0	Probe
165.0984	2.0061	loneliness:socialize::nervousness:sweat	loneliness:socialize	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
167.9226	2.0153	loneliness:socialize::nervousness:sweat	None	nervousness:sweat	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
