onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0174	2.0083	sadness:cry::hot:cold	sadness:cry	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
7.1095	2.0176	sadness:cry::hot:cold	None	hot:cold	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
9.8277	0.6854	sadness:cry::hot:cold	sadness:cry	hot:cold	0	3	2	8	4	['4']	4	1	0	0	1	1.0	Probe
11.5354	2.0104	thirst:drink::funny:serious	thirst:drink	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
14.2977	2.0153	thirst:drink::funny:serious	None	funny:serious	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
17.1735	0.8499	thirst:drink::funny:serious	thirst:drink	funny:serious	0	3	2	8	6	['4']	4	1	0	0	1	1.0	Probe
19.0379	2.0105	smiling:sad::illness:discomfort	smiling:sad	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
22.0102	2.0058	smiling:sad::illness:discomfort	None	illness:discomfort	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
25.0085	1.6735	smiling:sad::illness:discomfort	smiling:sad	illness:discomfort	0	2	3	6	7	['3']	3	2	0	0	1	1.0	Probe
27.7084	2.0099	drink:hydrate::bathe:clean	drink:hydrate	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
30.3614	2.0077	drink:hydrate::bathe:clean	None	bathe:clean	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
32.9301	0.5225	drink:hydrate::bathe:clean	drink:hydrate	bathe:clean	1	3	3	9	9	['4']	4	2	0	0	1	1.0	Probe
34.4778	2.0095	dirtiness:bathe::hunger:eat	dirtiness:bathe	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
37.0466	2.0083	dirtiness:bathe::hunger:eat	None	hunger:eat	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
40.141	1.2105	dirtiness:bathe::hunger:eat	dirtiness:bathe	hunger:eat	1	3	3	8	8	['4']	4	2	0	0	1	1.0	Probe
42.3633	2.0101	ahead:behind::breathe:live	ahead:behind	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
45.7663	2.0087	ahead:behind::breathe:live	None	breathe:live	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
48.7664	0.8001	ahead:behind::breathe:live	ahead:behind	breathe:live	0	2	3	5	9	['3']	3	2	0	0	1	1.0	Probe
50.5831	2.0104	darken:color::terror:fear	darken:color	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
53.2439	2.0169	darken:color::terror:fear	None	terror:fear	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
55.804	2.5158	darken:color::terror:fear	darken:color	terror:fear	1	1	1	3	3	['4']	3	1	0	0	1	1.0	Probe
59.3357	2.0107	fat:thin::kid:child	fat:thin	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
63.6249	2.0066	fat:thin::kid:child	None	kid:child	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
66.3411	0.9629	fat:thin::kid:child	fat:thin	kid:child	0	2	1	4	1	['4']	4	1	0	0	1	1.0	Probe
68.3278	2.0053	explosion:damage::book:magazine	explosion:damage	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
70.873	2.0111	explosion:damage::book:magazine	None	book:magazine	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
74.168	0.6467	explosion:damage::book:magazine	explosion:damage	book:magazine	0	3	1	7	2	['3']	3	2	0	0	1	1.0	Probe
75.8256	2.0104	wash:clean::careful:cautious	wash:clean	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
78.4644	2.0058	wash:clean::careful:cautious	None	careful:cautious	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
81.5009	1.4077	wash:clean::careful:cautious	wash:clean	careful:cautious	0	3	1	9	1	['3']	4	1	0	0	1	1.0	Probe
83.9303	2.0087	good:bad::shorten:distance	good:bad	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
86.5674	2.006	good:bad::shorten:distance	None	shorten:distance	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
