onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0176	2.0084	danger:flee::force:pressure	danger:flee	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
6.4653	2.0118	danger:flee::force:pressure	None	force:pressure	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
9.4629	2.2336	danger:flee::force:pressure	danger:flee	force:pressure	0	3	1	8	3	['4']	4	1	0	0	1	1.0	Probe
12.72	2.0094	heat:temperature::loud:discreet	heat:temperature	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
15.4062	2.0076	heat:temperature::loud:discreet	None	loud:discreet	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
18.7712	0.6188	heat:temperature::loud:discreet	heat:temperature	loud:discreet	0	1	2	3	6	['3']	3	2	0	0	1	1.0	Probe
20.4054	2.0103	below:above::dirtiness:bathe	below:above	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
24.2635	2.0037	below:above::dirtiness:bathe	None	dirtiness:bathe	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
27.8092	0.7221	below:above::dirtiness:bathe	below:above	dirtiness:bathe	0	2	3	5	8	['3']	3	2	0	0	1	1.0	Probe
29.5431	2.0092	acceleration:speed::inflation:price	acceleration:speed	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
32.2342	2.0191	acceleration:speed::inflation:price	None	inflation:price	1	None	1	None	3	0	0	0	0	1	0	1.0	CD
35.6372	0.6771	acceleration:speed::inflation:price	acceleration:speed	inflation:price	1	1	1	3	3	['4']	4	2	0	0	1	1.0	Probe
37.3282	2.0103	fun:boring::smiling:sad	fun:boring	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
40.0963	2.01	fun:boring::smiling:sad	None	smiling:sad	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
43.2954	1.4972	fun:boring::smiling:sad	fun:boring	smiling:sad	1	2	2	6	6	['3']	3	1	0	0	1	1.0	Probe
45.8143	2.0107	high:down::discount:price	high:down	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
49.3192	2.0071	high:down::discount:price	None	discount:price	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
51.9256	0.7719	high:down::discount:price	high:down	discount:price	0	2	1	6	3	['3']	3	2	0	0	1	1.0	Probe
53.7178	2.01	raise:elevate::cute:adorable	raise:elevate	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
56.4051	2.0071	raise:elevate::cute:adorable	None	cute:adorable	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
59.784	0.7522	raise:elevate::cute:adorable	raise:elevate	cute:adorable	1	1	1	1	1	['4']	4	2	0	0	1	1.0	Probe
61.5569	1.6429	loneliness:socialize::fright:scream	loneliness:socialize	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
64.2273	2.0069	loneliness:socialize::fright:scream	None	fright:scream	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
67.0263	1.0355	loneliness:socialize::fright:scream	loneliness:socialize	fright:scream	1	3	3	8	8	['4']	4	2	0	0	1	1.0	Probe
69.0756	2.0105	read:learn::just:unfair	read:learn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
71.6473	2.0066	read:learn::just:unfair	None	just:unfair	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
75.6168	0.5619	read:learn::just:unfair	read:learn	just:unfair	0	3	2	9	6	['3']	3	2	0	0	1	1.0	Probe
77.1971	2.0086	speak:express::ignite:burn	speak:express	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
