onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.016	2.0083	chair:sofa::east:west	chair:sofa	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
7.0217	2.0204	chair:sofa::east:west	None	east:west	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
9.8407	0.8226	chair:sofa::east:west	chair:sofa	east:west	0	1	2	2	5	['3']	3	2	0	0	1	1.0	Probe
11.6835	2.01	dirty:bathe::thirst:drink	dirty:bathe	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
14.2997	2.0111	dirty:bathe::thirst:drink	None	thirst:drink	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
17.2359	0.5264	dirty:bathe::thirst:drink	dirty:bathe	thirst:drink	1	3	3	8	8	['3']	3	1	0	0	1	1.0	Probe
18.7854	2.0102	hunger:eat::dirtiness:bathe	hunger:eat	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
21.6219	2.008	hunger:eat::dirtiness:bathe	None	dirtiness:bathe	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
24.8583	0.5804	hunger:eat::dirtiness:bathe	hunger:eat	dirtiness:bathe	1	3	3	8	8	['3']	3	1	0	0	1	1.0	Probe
26.4549	2.0096	speed:movement::fat:thin	speed:movement	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
29.1692	2.0127	speed:movement::fat:thin	None	fat:thin	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
32.0634	1.2134	speed:movement::fat:thin	speed:movement	fat:thin	0	1	2	3	4	['3']	4	1	0	0	1	1.0	Probe
34.2911	2.0089	illness:discomfort::stimulus:response	illness:discomfort	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
37.103	2.0144	illness:discomfort::stimulus:response	None	stimulus:response	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
40.1623	0.7107	illness:discomfort::stimulus:response	illness:discomfort	stimulus:response	1	3	3	7	7	['4']	4	2	0	0	1	1.0	Probe
41.8941	2.0083	book:magazine::exercise:healthy	book:magazine	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
44.7293	2.0072	book:magazine::exercise:healthy	None	exercise:healthy	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
47.6777	0.6087	book:magazine::exercise:healthy	book:magazine	exercise:healthy	0	1	3	2	9	['3']	4	1	0	0	1	1.0	Probe
49.3113	2.0098	speak:express::flee:escape	speak:express	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
51.8947	2.0105	speak:express::flee:escape	None	flee:escape	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
54.5451	0.5889	speak:express::flee:escape	speak:express	flee:escape	1	3	3	9	9	['3']	3	1	0	0	1	1.0	Probe
56.146	2.0104	big:large::low:up	big:large	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
58.7315	2.009	big:large::low:up	None	low:up	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
61.6427	0.6377	big:large::low:up	big:large	low:up	0	1	2	1	6	['4']	4	1	0	0	1	1.0	Probe
63.3003	2.0082	joke:laughter::rise:tide	joke:laughter	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
66.6631	2.0132	joke:laughter::rise:tide	None	rise:tide	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
69.2547	1.3851	joke:laughter::rise:tide	joke:laughter	rise:tide	0	3	1	7	3	['3']	3	2	0	0	1	1.0	Probe
71.651	2.0101	bathe:clean::run:sprint	bathe:clean	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
75.6139	2.015	bathe:clean::run:sprint	None	run:sprint	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
78.2511	1.4973	bathe:clean::run:sprint	bathe:clean	run:sprint	0	3	1	9	1	['4']	4	1	0	0	1	1.0	Probe
80.7703	2.01	workout:sweat::disease:sickness	workout:sweat	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
83.9266	2.0047	workout:sweat::disease:sickness	None	disease:sickness	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
86.5187	1.2401	workout:sweat::disease:sickness	workout:sweat	disease:sickness	1	3	3	7	7	['4']	3	1	0	0	1	1.0	Probe
88.7725	2.0102	table:desk::wagon:trailer	table:desk	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
91.7994	2.0175	table:desk::wagon:trailer	None	wagon:trailer	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
97.1248	0.6879	table:desk::wagon:trailer	table:desk	wagon:trailer	1	1	1	2	2	['4']	4	2	0	0	1	1.0	Probe
98.829	2.0067	flood:water::sadness:cry	flood:water	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
101.8575	2.0123	flood:water::sadness:cry	None	sadness:cry	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
104.4685	0.7282	flood:water::sadness:cry	flood:water	sadness:cry	0	1	3	3	8	['3']	4	1	0	0	1	1.0	Probe
106.2109	2.0101	study:learn::warm:cool	study:learn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
110.2291	2.0098	study:learn::warm:cool	None	warm:cool	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
114.4343	0.5674	study:learn::warm:cool	study:learn	warm:cool	0	3	2	9	4	['3']	3	2	0	0	1	1.0	Probe
