onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0267	2.0075	heat:temperature::loud:discreet	heat:temperature	None	None	1	None	3	None	0	0	0	1	0	0	1.0	AB
5.7395	2.0122	heat:temperature::loud:discreet	None	loud:discreet	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
8.5271	1.0898	heat:temperature::loud:discreet	heat:temperature	loud:discreet	0	1	2	3	6	['3']	4	1	0	0	1	1.0	Probe
10.6447	2.0085	book:magazine::ladder:stairs	book:magazine	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
14.0481	2.006	book:magazine::ladder:stairs	None	ladder:stairs	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
16.7863	3.0645	book:magazine::ladder:stairs	book:magazine	ladder:stairs	1	1	1	2	2	['3']	3	1	0	0	1	1.0	Probe
20.8626	2.0101	fun:boring::smiling:sad	fun:boring	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
23.7147	2.0089	fun:boring::smiling:sad	None	smiling:sad	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
26.4964	2.245	fun:boring::smiling:sad	fun:boring	smiling:sad	1	2	2	6	6	['4']	4	2	0	0	1	1.0	Probe
29.7657	2.0098	raise:elevate::cute:adorable	raise:elevate	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
33.0939	2.0158	raise:elevate::cute:adorable	None	cute:adorable	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
35.9489	0.5579	raise:elevate::cute:adorable	raise:elevate	cute:adorable	1	1	1	1	1	['4']	4	2	0	0	1	1.0	Probe
37.5173	2.0104	dark:light::big:small	dark:light	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
40.1172	2.0111	dark:light::big:small	None	big:small	1	None	2	None	4	0	0	0	0	1	0	1.0	CD
42.7088	0.907	dark:light::big:small	dark:light	big:small	1	2	2	4	4	['3']	3	1	0	0	1	1.0	Probe
44.6362	2.0102	read:learn::just:unfair	read:learn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
47.2316	2.0155	read:learn::just:unfair	None	just:unfair	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
50.082	1.5502	read:learn::just:unfair	read:learn	just:unfair	0	3	2	9	6	['4']	4	1	0	0	1	1.0	Probe
52.6554	2.0101	north:south::east:west	north:south	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
55.2679	2.0148	north:south::east:west	None	east:west	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
58.5629	0.8215	north:south::east:west	north:south	east:west	1	2	2	5	5	['4']	4	2	0	0	1	1.0	Probe
60.4073	2.0102	tall:short::repetition:boredom	tall:short	None	None	2	None	4	None	0	0	0	1	0	0	1.0	AB
62.9552	2.0134	tall:short::repetition:boredom	None	repetition:boredom	0	None	3	None	7	0	0	0	0	1	0	1.0	CD
65.6697	1.835	tall:short::repetition:boredom	tall:short	repetition:boredom	0	2	3	4	7	['3']	3	2	0	0	1	1.0	Probe
68.5284	2.0084	bathe:clean::work:earn	bathe:clean	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
71.7086	2.0125	bathe:clean::work:earn	None	work:earn	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
74.6111	0.9831	bathe:clean::work:earn	bathe:clean	work:earn	1	3	3	9	9	['4']	4	2	0	0	1	1.0	Probe
76.612	2.0105	high:down::discount:price	high:down	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
79.249	2.0074	high:down::discount:price	None	discount:price	0	None	1	None	3	0	0	0	0	1	0	1.0	CD
81.8259	2.8368	high:down::discount:price	high:down	discount:price	0	2	1	6	3	['3']	4	1	0	0	1	1.0	Probe
85.6841	2.0076	climb:descend::pretty:beautiful	climb:descend	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
88.4712	2.0046	climb:descend::pretty:beautiful	None	pretty:beautiful	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
92.286	0.785	climb:descend::pretty:beautiful	climb:descend	pretty:beautiful	0	2	1	5	1	['4']	4	1	0	0	1	1.0	Probe
94.0839	2.0102	chair:sofa::pencil:pen	chair:sofa	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
96.8906	2.0044	chair:sofa::pencil:pen	None	pencil:pen	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
99.464	4.0147	chair:sofa::pencil:pen	chair:sofa	pencil:pen	1	1	1	2	2	None	4	2	0	0	1	1.0	Probe
104.5034	2.0105	kid:child::make:manufacture	kid:child	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
107.2094	2.0052	kid:child::make:manufacture	None	make:manufacture	1	None	1	None	1	0	0	0	0	1	0	1.0	CD
109.7876	0.9987	kid:child::make:manufacture	kid:child	make:manufacture	1	1	1	1	1	['4']	3	1	0	0	1	1.0	Probe
111.8068	2.0092	illness:discomfort::explosion:damage	illness:discomfort	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
114.6419	2.0083	illness:discomfort::explosion:damage	None	explosion:damage	1	None	3	None	7	0	0	0	0	1	0	1.0	CD
117.4347	0.7266	illness:discomfort::explosion:damage	illness:discomfort	explosion:damage	1	3	3	7	7	['3']	3	1	0	0	1	1.0	Probe
119.175	2.0097	joke:laughter::right:bad	joke:laughter	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
121.9212	2.0144	joke:laughter::right:bad	None	right:bad	0	None	2	None	6	0	0	0	0	1	0	1.0	CD
124.663	1.5647	joke:laughter::right:bad	joke:laughter	right:bad	0	3	2	7	6	['4']	4	1	0	0	1	1.0	Probe
127.2452	2.0085	loneliness:socialize::fright:scream	loneliness:socialize	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
130.1059	2.0154	loneliness:socialize::fright:scream	None	fright:scream	1	None	3	None	8	0	0	0	0	1	0	1.0	CD
132.6616	1.1146	loneliness:socialize::fright:scream	loneliness:socialize	fright:scream	1	3	3	8	8	['3']	4	2	0	0	1	1.0	Probe
134.796	2.01	shovel:spoon::black:white	shovel:spoon	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
139.0914	2.0154	shovel:spoon::black:white	None	black:white	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
141.8052	1.1521	shovel:spoon::black:white	shovel:spoon	black:white	0	1	2	2	4	['3']	3	2	0	0	1	1.0	Probe
143.9812	2.0101	bright:dull::day:evening	bright:dull	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
148.2869	2.0054	bright:dull::day:evening	None	day:evening	1	None	2	None	6	0	0	0	0	1	0	1.0	CD
151.234	4.0087	bright:dull::day:evening	bright:dull	day:evening	1	2	2	6	6	None	4	2	0	0	1	1.0	Probe
156.2674	2.0099	study:learn::old:young	study:learn	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
159.7231	2.0051	study:learn::old:young	None	old:young	0	None	2	None	4	0	0	0	0	1	0	1.0	CD
162.5778	0.5688	study:learn::old:young	study:learn	old:young	0	3	2	9	4	['4']	4	1	0	0	1	1.0	Probe
164.1716	2.0075	speak:express::ignite:burn	speak:express	None	None	3	None	9	None	0	0	0	1	0	0	1.0	AB
167.0212	2.0086	speak:express::ignite:burn	None	ignite:burn	1	None	3	None	9	0	0	0	0	1	0	1.0	CD
169.6822	0.7143	speak:express::ignite:burn	speak:express	ignite:burn	1	3	3	9	9	['3']	3	1	0	0	1	1.0	Probe
171.4201	2.0105	car:auto::top:bottom	car:auto	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
174.3808	2.0172	car:auto::top:bottom	None	top:bottom	0	None	2	None	5	0	0	0	0	1	0	1.0	CD
177.1679	0.5402	car:auto::top:bottom	car:auto	top:bottom	0	1	2	1	5	['4']	4	1	0	0	1	1.0	Probe
178.7223	2.0101	good:wrong::nervousness:sweat	good:wrong	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
181.9215	2.0116	good:wrong::nervousness:sweat	None	nervousness:sweat	0	None	3	None	8	0	0	0	0	1	0	1.0	CD
184.6398	1.6101	good:wrong::nervousness:sweat	good:wrong	nervousness:sweat	0	2	3	6	8	['4']	4	1	0	0	1	1.0	Probe
187.2742	2.0101	left:right::in:out	left:right	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
189.8904	2.0112	left:right::in:out	None	in:out	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
192.4843	1.7923	left:right::in:out	left:right	in:out	1	2	2	5	5	['3']	4	2	0	0	1	1.0	Probe
195.2935	2.0092	exercise:fitness::pillow:cushion	exercise:fitness	None	None	3	None	7	None	0	0	0	1	0	0	1.0	AB
198.4175	2.0192	exercise:fitness::pillow:cushion	None	pillow:cushion	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
200.9621	1.3425	exercise:fitness::pillow:cushion	exercise:fitness	pillow:cushion	0	3	1	7	2	['4']	3	2	0	0	1	1.0	Probe
203.3282	2.0096	teach:instruct::up:down	teach:instruct	None	None	1	None	1	None	0	0	0	1	0	0	1.0	AB
