onset	duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe	intensity	TrialType
3.0296	2.0085	right:bad::advertise:promote	right:bad	None	None	2	None	6	None	0	0	0	1	0	0	1.0	AB
6.198	2.0077	right:bad::advertise:promote	None	advertise:promote	0	None	3	None	9	0	0	0	0	1	0	1.0	CD
9.8903	1.3932	right:bad::advertise:promote	right:bad	advertise:promote	0	2	3	6	9	['4']	3	2	0	0	1	1.0	Probe
12.2974	2.0102	sadness:cry::table:desk	sadness:cry	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
16.0961	2.0128	sadness:cry::table:desk	None	table:desk	0	None	1	None	2	0	0	0	0	1	0	1.0	CD
18.8425	1.4379	sadness:cry::table:desk	sadness:cry	table:desk	0	3	1	8	2	['3']	4	1	0	0	1	1.0	Probe
21.3011	2.0095	forward:backward::north:south	forward:backward	None	None	2	None	5	None	0	0	0	1	0	0	1.0	AB
24.0408	2.004	forward:backward::north:south	None	north:south	1	None	2	None	5	0	0	0	0	1	0	1.0	CD
26.6202	2.381	forward:backward::north:south	forward:backward	north:south	1	2	2	5	5	['3']	4	2	0	0	1	1.0	Probe
30.0198	2.0103	house:tent::book:magazine	house:tent	None	None	1	None	2	None	0	0	0	1	0	0	1.0	AB
32.6212	2.0099	house:tent::book:magazine	None	book:magazine	1	None	1	None	2	0	0	0	0	1	0	1.0	CD
35.6098	2.8847	house:tent::book:magazine	house:tent	book:magazine	1	1	1	2	2	['4']	4	2	0	0	1	1.0	Probe
39.507	2.0093	sickness:medicate::raise:elevate	sickness:medicate	None	None	3	None	8	None	0	0	0	1	0	0	1.0	AB
42.2724	2.0115	sickness:medicate::raise:elevate	None	raise:elevate	0	None	1	None	1	0	0	0	0	1	0	1.0	CD
44.9929	1.7642	sickness:medicate::raise:elevate	sickness:medicate	raise:elevate	0	3	1	8	1	['4']	4	1	0	0	1	1.0	Probe
